NCD 1 inch PE,,,,,,NCD 2 inch PE,,,,,,NCD 3 inch PE,,,,,,NCD 4 inch PE,,,,,,NCD 5 inch PE,,,,,,NCD bare,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty,,Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty,,Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty,,Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty,,Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty,,Source Energy(MeV),Triton Counts,Events,Effective Efficiency,Poisson Uncertainty
1E-10,71403,3000000,0.023801,8.90711E-05,,1E-10,29161,3000000,0.009720333,5.6922E-05,,1E-10,19672,5000000,0.0039344,2.80514E-05,,1E-10,9750,6000000,0.001625,1.6457E-05,,1E-10,5410,8000000,0.00067625,9.19409E-06,,1E-10,424564,3000000,0.141521333,0.000217195
1.00E-09,84879,3000000,0.028293,9.71133E-05,,1.00E-09,34284,3000000,0.011428,6.17198E-05,,1.00E-09,22737,5000000,0.0045474,3.01576E-05,,1.00E-09,11612,6000000,0.001935333,1.79598E-05,,1.00E-09,6456,8000000,0.000807,1.00437E-05,,1.00E-09,559783,3000000,0.186594333,0.000249395
1.00E-08,118865,3000000,0.039621667,0.000114923,,1.00E-08,47736,3000000,0.015912,7.28286E-05,,1.00E-08,32406,5000000,0.0064812,3.60033E-05,,1.00E-08,16198,6000000,0.002699667,2.12119E-05,,1.00E-08,8877,8000000,0.001109625,1.17772E-05,,1.00E-08,523670,3000000,0.174556667,0.000241217
1.00E-07,177168,3000000,0.059056,0.000140304,,1.00E-07,71840,3000000,0.023946667,8.93433E-05,,1.00E-07,48221,5000000,0.0096442,4.39186E-05,,1.00E-07,24461,6000000,0.004076833,2.60667E-05,,1.00E-07,13108,8000000,0.0016385,1.43113E-05,,1.00E-07,320523,3000000,0.106841,0.000188716
1.00E-06,215990,3000000,0.071996667,0.000154916,,1.00E-06,93061,3000000,0.031020333,0.000101686,,1.00E-06,62974,5000000,0.0125948,5.01892E-05,,1.00E-06,31585,6000000,0.005264167,2.96203E-05,,1.00E-06,17018,8000000,0.00212725,1.63066E-05,,1.00E-06,138954,3000000,0.046318,0.000124255
1.00E-05,222069,3000000,0.074023,0.000157081,,1.00E-05,107022,3000000,0.035674,0.000109047,,1.00E-05,73822,5000000,0.0147644,5.43404E-05,,1.00E-05,36805,6000000,0.006134167,3.19744E-05,,1.00E-05,20144,8000000,0.002518,1.77412E-05,,1.00E-05,49209,3000000,0.016403,7.39437E-05
1.00E-04,210931,3000000,0.070310333,0.000153091,,1.00E-04,116332,3000000,0.038777333,0.000113692,,1.00E-04,82207,5000000,0.0164414,5.73435E-05,,1.00E-04,41824,6000000,0.006970667,3.40849E-05,,1.00E-04,22606,8000000,0.00282575,1.87941E-05,,1.00E-04,16139,3000000,0.005379667,4.23465E-05
1.00E-03,192216,3000000,0.064072,0.000146141,,1.00E-03,121611,3000000,0.040537,0.000116243,,1.00E-03,89517,5000000,0.0179034,5.98388E-05,,1.00E-03,45097,6000000,0.007516167,3.53934E-05,,1.00E-03,24695,8000000,0.003086875,1.96433E-05,,1.00E-03,4935,3000000,0.001645,2.34165E-05
1.00E-02,170654,3000000,0.056884667,0.000137701,,1.00E-02,125112,3000000,0.041704,0.000117904,,1.00E-02,96825,5000000,0.019365,6.22334E-05,,1.00E-02,50353,6000000,0.008392167,3.73991E-05,,1.00E-02,27703,8000000,0.003462875,2.08053E-05,,1.00E-02,1399,3000000,0.000466333,1.24677E-05
0.1,152987,3000000,0.050995667,0.000130379,,0.1,136633,3000000,0.045544333,0.000123213,,0.1,118492,5000000,0.0236984,6.88453E-05,,0.1,63339,6000000,0.0105565,4.19454E-05,,0.1,35492,8000000,0.0044365,2.35492E-05,,0.1,3684,30000000,0.0001228,2.0232E-06
0.2,144559,3000000,0.048186333,0.000126736,,0.2,145286,3000000,0.048428667,0.000127055,,0.2,134454,5000000,0.0268908,7.33359E-05,,0.2,75386,6000000,0.012564333,4.57609E-05,,0.2,42235,8000000,0.005279375,2.56889E-05,,0.2,2479,30000000,8.26333E-05,1.65965E-06
0.3,136825,3000000,0.045608333,0.0001233,,0.3,150544,3000000,0.050181333,0.000129333,,0.3,147256,5000000,0.0294512,7.67479E-05,,0.3,85375,6000000,0.014229167,4.86983E-05,,0.3,49604,8000000,0.0062005,2.78399E-05,,0.3,2054,30000000,6.84667E-05,1.5107E-06
0.4,130022,3000000,0.043340667,0.000120195,,0.4,153176,3000000,0.051058667,0.000130459,,0.4,157677,5000000,0.0315354,7.94171E-05,,0.4,95605,6000000,0.015934167,5.15334E-05,,0.4,56843,8000000,0.007105375,2.98022E-05,,0.4,1935,30000000,0.0000645,1.46629E-06
0.5,122892,3000000,0.040964,0.000116853,,0.5,154597,3000000,0.051532333,0.000131063,,0.5,164728,5000000,0.0329456,8.11734E-05,,0.5,103349,6000000,0.017224833,5.35799E-05,,0.5,63031,8000000,0.007878875,3.13825E-05,,0.5,1920,30000000,0.000064,1.46059E-06
0.6,116959,3000000,0.038986333,0.000113998,,0.6,156055,3000000,0.052018333,0.000131679,,0.6,173013,5000000,0.0346026,8.31897E-05,,0.6,111050,6000000,0.018508333,5.55403E-05,,0.6,69445,8000000,0.008680625,3.29405E-05,,0.6,1842,30000000,0.0000614,1.43062E-06
0.7,112528,3000000,0.037509333,0.000111817,,0.7,156061,3000000,0.052020333,0.000131682,,0.7,178992,5000000,0.0357984,8.46149E-05,,0.7,117890,6000000,0.019648333,5.72252E-05,,0.7,75578,8000000,0.00944725,3.43643E-05,,0.7,1809,30000000,0.0000603,1.41774E-06
0.8,107880,3000000,0.03596,0.000109484,,0.8,155636,3000000,0.051878667,0.000131502,,0.8,182742,5000000,0.0365484,8.54967E-05,,0.8,124197,6000000,0.0206995,5.8736E-05,,0.8,82011,8000000,0.010251375,3.5797E-05,,0.8,1703,30000000,5.67667E-05,1.37558E-06
0.9,103027,3000000,0.034342333,0.000106993,,0.9,154891,3000000,0.051630333,0.000131187,,0.9,187687,5000000,0.0375374,8.66457E-05,,0.9,130627,6000000,0.021771167,6.02373E-05,,0.9,87926,8000000,0.01099075,3.70654E-05,,0.9,1699,30000000,5.66333E-05,1.37396E-06
1,99112,3000000,0.033037333,0.00010494,,1,155071,3000000,0.051690333,0.000131264,,1,191579,5000000,0.0383158,8.75395E-05,,1,136233,6000000,0.0227055,6.15163E-05,,1,93112,8000000,0.011639,3.81428E-05,,1,1786,30000000,5.95333E-05,1.4087E-06
2,70603,3000000,0.023534333,8.85708E-05,,2,138410,3000000,0.046136667,0.000124012,,2,203978,5000000,0.0407956,9.03278E-05,,2,168482,6000000,0.028080333,6.84109E-05,,2,136834,8000000,0.01710425,4.62389E-05,,2,1592,30000000,5.30667E-05,1.33E-06
